SpaceID,EventTime_UTC,OccupancyState
LT476,07/23/2019 05:24:36 PM,VACANT
SV700,07/23/2019 05:24:35 PM,OCCUPIED
CB3261,07/23/2019 05:24:29 PM,OCCUPIED
LT409,07/23/2019 05:24:26 PM,OCCUPIED
WV122,07/23/2019 05:24:25 PM,OCCUPIED
CB1201,07/23/2019 05:24:23 PM,OCCUPIED
LT455,07/23/2019 05:24:22 PM,OCCUPIED
HO118,07/23/2019 05:24:21 PM,OCCUPIED
LT441,07/23/2019 05:24:21 PM,VACANT
CB3299,07/23/2019 05:24:20 PM,OCCUPIED
WV107,07/23/2019 05:24:20 PM,VACANT
CB1020B,07/23/2019 05:24:19 PM,VACANT
LT454,07/23/2019 05:24:19 PM,VACANT
WV475,07/23/2019 05:24:19 PM,OCCUPIED
CC817A,07/23/2019 05:24:19 PM,OCCUPIED
WV348,07/23/2019 05:24:18 PM,OCCUPIED
HO569,07/23/2019 05:24:16 PM,OCCUPIED
LT18,07/23/2019 05:24:15 PM,VACANT
WV72,07/23/2019 05:24:12 PM,OCCUPIED
LT10A,07/23/2019 05:24:12 PM,OCCUPIED
CB3691,07/23/2019 05:24:11 PM,OCCUPIED
CB1538,07/23/2019 05:24:08 PM,VACANT
CB737,07/23/2019 05:24:08 PM,VACANT
CB126,07/23/2019 05:24:07 PM,OCCUPIED
WV316A,07/23/2019 05:24:05 PM,VACANT
LT288,07/23/2019 05:24:04 PM,OCCUPIED
CB62,07/23/2019 05:24:04 PM,VACANT
LT14,07/23/2019 05:24:04 PM,OCCUPIED
CB2139,07/23/2019 05:24:03 PM,OCCUPIED
CB3040,07/23/2019 05:24:03 PM,OCCUPIED
CB3048,07/23/2019 05:24:02 PM,VACANT
HO69,07/23/2019 05:24:02 PM,OCCUPIED
CB962,07/23/2019 05:24:02 PM,VACANT
ED207B,07/23/2019 05:24:02 PM,VACANT
ED222,07/23/2019 05:24:02 PM,OCCUPIED
LT52,07/23/2019 05:24:01 PM,VACANT
WV374,07/23/2019 05:23:59 PM,OCCUPIED
CB1217,07/23/2019 05:23:56 PM,OCCUPIED
ED370,07/23/2019 05:23:56 PM,VACANT
CT12,07/23/2019 05:23:56 PM,OCCUPIED
CT19,07/23/2019 05:23:56 PM,VACANT
ED204,07/23/2019 05:23:55 PM,VACANT
CC1093,07/23/2019 05:23:55 PM,VACANT
CB537,07/23/2019 05:23:55 PM,VACANT
CC277,07/23/2019 05:23:54 PM,VACANT
WV484,07/23/2019 05:23:54 PM,OCCUPIED
CB4245A,07/23/2019 05:23:53 PM,VACANT
ED600,07/23/2019 05:23:53 PM,VACANT
ED239,07/23/2019 05:23:53 PM,VACANT
LT336,07/23/2019 05:23:53 PM,OCCUPIED
CT60,07/23/2019 05:23:53 PM,OCCUPIED
CT403,07/23/2019 05:23:52 PM,OCCUPIED
CC273,07/23/2019 05:23:52 PM,OCCUPIED
V210,07/23/2019 05:23:52 PM,VACANT
CB174,07/23/2019 05:23:51 PM,VACANT
CB4252,07/23/2019 05:23:51 PM,VACANT
LT574,07/23/2019 05:23:51 PM,VACANT
LT367A,07/23/2019 05:23:51 PM,OCCUPIED
ED213,07/23/2019 05:23:50 PM,VACANT
CB2878,07/23/2019 05:23:49 PM,VACANT
LT296F,07/23/2019 05:23:48 PM,VACANT
LT576,07/23/2019 05:23:48 PM,VACANT
WV496,07/23/2019 05:23:48 PM,VACANT
CB1634,07/23/2019 05:23:47 PM,OCCUPIED
CB2491,07/23/2019 05:23:47 PM,OCCUPIED
CB3943,07/23/2019 05:23:46 PM,VACANT
CT137,07/23/2019 05:23:45 PM,OCCUPIED
CB1088,07/23/2019 05:23:45 PM,VACANT
ED388A,07/23/2019 05:23:44 PM,VACANT
CB2275,07/23/2019 05:23:43 PM,OCCUPIED
61212,07/23/2019 05:23:43 PM,OCCUPIED
CB87,07/23/2019 05:23:43 PM,OCCUPIED
LT176,07/23/2019 05:23:43 PM,OCCUPIED
ED626,07/23/2019 05:23:42 PM,VACANT
ED599A,07/23/2019 05:23:42 PM,OCCUPIED
LZ102,07/23/2019 05:23:42 PM,OCCUPIED
CB3641,07/23/2019 05:23:40 PM,VACANT
WV583,07/23/2019 05:23:40 PM,VACANT
WV332,07/23/2019 05:23:39 PM,OCCUPIED
CC438,07/23/2019 05:23:38 PM,VACANT
CT268,07/23/2019 05:23:38 PM,VACANT
CB3942,07/23/2019 05:23:37 PM,VACANT
CB3712A,07/23/2019 05:23:37 PM,OCCUPIED
61144,07/23/2019 05:23:36 PM,VACANT
ED630,07/23/2019 05:23:35 PM,OCCUPIED
CB1398,07/23/2019 05:23:35 PM,OCCUPIED
CB121,07/23/2019 05:23:34 PM,VACANT
HO977,07/23/2019 05:23:34 PM,VACANT
CB3549,07/23/2019 05:23:34 PM,OCCUPIED
CC1313,07/23/2019 05:23:34 PM,OCCUPIED
CT435A,07/23/2019 05:23:33 PM,OCCUPIED
CB3348B,07/23/2019 05:23:33 PM,OCCUPIED
LT98,07/23/2019 05:23:33 PM,VACANT
HO495A,07/23/2019 05:23:32 PM,VACANT
66467,07/23/2019 05:23:32 PM,VACANT
CB3584,07/23/2019 05:23:30 PM,OCCUPIED
